tweet_id,text,name,jpg_url,favorite_count,retweet_count,user_count,dog_stage,date,time,rating,dog_breed,conf_lvl
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,39467.0,8853.0,3200889.0,,2017-08-01,16:23:56,13.0,Welsh_springer_spaniel,0.465074
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,33819.0,6514.0,3200889.0,,2017-08-01,00:17:27,13.0,redbone,0.506826
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,25461.0,4328.0,3200889.0,,2017-07-31,00:18:03,12.0,German_shepherd,0.596461
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,42908.0,8964.0,3200889.0,,2017-07-30,15:58:51,13.0,Rhodesian_ridgeback,0.408143
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,41048.0,9774.0,3200889.0,,2017-07-29,16:00:24,12.0,miniature_pinscher,0.560311
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,None,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,20562.0,3261.0,3200889.0,,2017-07-29,00:08:17,13.0,Bernese_mountain_dog,0.651137
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,None,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,56848.0,16716.0,3200889.0,,2017-07-28,00:22:40,13.0,chow,0.692517
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,28226.0,4429.0,3200889.0,,2017-07-27,16:25:51,13.0,golden_retriever,0.00795896
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,32467.0,7711.0,3200889.0,doggo,2017-07-26,15:59:51,14.0,miniature_poodle,0.201493
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,31166.0,7624.0,3200889.0,,2017-07-26,00:31:25,13.0,golden_retriever,0.77593
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,28268.0,5156.0,3200889.0,,2017-07-25,16:11:53,13.0,Gordon_setter,0.503672
889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,None,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,38818.0,8538.0,3200889.0,puppo,2017-07-25,01:55:32,13.0,Walker_hound,0.260857
889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Ted,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,27672.0,4735.0,3200889.0,,2017-07-25,00:10:02,12.0,pug,0.489814
889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,Stuart,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,15359.0,2321.0,3200889.0,puppo,2017-07-24,17:02:04,13.0,bloodhound,0.195217
